,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
24738,0,75.0,85.0,29.0,4.4,31.2799,121.4582,31.2864,121.4525
17109,0,75.0,65.0,35.0,4.9,31.2761,121.457,31.2631,121.45
15933,0,24.0,25.0,37.0,4.4,31.2297,121.4415,31.2285,121.4583
3513,0,24.0,25.0,33.0,4.1,31.2278,121.4445,31.2259,121.4549
29529,0,75.0,65.0,39.0,5.199999999999999,31.2779,121.4547,31.2602,121.4558
15836,1,61.0,71.0,32.0,4.7,31.2619,121.418,31.2723,121.4148
20053,1,54.0,22.0,57.0,6.5,31.2597,121.4412,31.2272,121.4202
15434,1,2.0,2.0,27.0,4.0,31.2041,121.425,31.2021,121.4279
33971,1,61.0,61.0,29.0,4.0,31.2635,121.4193,31.2645,121.4121
32183,2,75.0,42.0,57.0,7.3,31.2706,121.4532,31.2419,121.4209
23079,2,75.0,85.0,37.0,4.800000000000001,31.2737,121.4593,31.2886,121.4577
4475,2,44.0,45.0,38.0,5.3,31.2441,121.4404,31.2452,121.4593
2919,2,6.0,5.0,25.0,3.5,31.2023,121.4625,31.2005,121.4579
21568,2,48.0,38.0,36.0,5.0,31.2459,121.4837,31.2301,121.4878
36219,2,71.0,71.0,29.0,4.3,31.2711,121.42,31.2776,121.4158
6020,2,90.0,90.0,27.0,3.7,31.296,121.401,31.2918,121.4047
30222,2,61.0,90.0,50.0,6.2,31.2619,121.418,31.2919,121.4062
26258,3,71.0,60.0,32.0,4.800000000000001,31.2706,121.4147,31.2613,121.4053
2635,3,89.0,89.0,25.0,3.8,31.2859,121.4915,31.2837,121.4902
29905,3,75.0,65.0,31.0,4.3,31.2747,121.4527,31.2664,121.452
31762,3,56.0,65.0,37.0,5.1,31.2513,121.4694,31.2644,121.4577
28112,3,35.0,45.0,34.0,4.3,31.2351,121.4544,31.2444,121.4508
5059,3,75.0,65.0,27.0,3.8,31.2709,121.4555,31.2666,121.4598
21164,4,75.0,64.0,37.0,4.800000000000001,31.2799,121.4582,31.2695,121.4451
26259,4,71.0,60.0,34.0,4.4,31.2747,121.4126,31.2652,121.4086
17085,4,75.0,64.0,31.0,4.4,31.2754,121.4501,31.2686,121.4429
8735,4,74.0,54.0,50.0,5.699999999999999,31.2785,121.4419,31.25,121.4449
36685,4,13.0,13.0,28.0,3.4,31.2112,121.4321,31.2133,121.4306
13815,5,44.0,52.0,35.0,4.3,31.2467,121.4406,31.2521,121.4284
13180,5,12.0,10.0,44.0,5.1,31.2178,121.425,31.2147,121.4015
770,5,12.0,10.0,38.0,5.4,31.2178,121.425,31.2149,121.403
3906,5,44.0,44.0,29.0,3.9,31.2435,121.4452,31.249,121.4453
8617,5,75.0,64.0,43.0,5.2,31.2795,121.4575,31.2603,121.441
29392,5,60.0,60.0,24.0,4.1,31.2664,121.4036,31.2664,121.4002
760,5,12.0,10.0,37.0,4.6,31.215,121.4262,31.211,121.4062
8113,5,61.0,61.0,32.0,4.0,31.27,121.4154,31.263,121.4196
20072,5,90.0,91.0,34.0,4.800000000000001,31.2935,121.4029,31.2915,121.4164
22006,6,35.0,34.0,33.0,4.9,31.24,121.4575,31.2323,121.4458
33158,6,75.0,76.0,30.0,4.3,31.2772,121.453,31.2767,121.4608
10479,6,36.0,26.0,33.0,4.1,31.2334,121.4664,31.2241,121.4644
32882,6,80.0,70.0,37.0,4.6,31.2867,121.4038,31.2704,121.4012
8291,6,75.0,75.0,24.0,3.2,31.2737,121.4593,31.2727,121.4591
724,6,25.0,14.0,35.0,4.800000000000001,31.2296,121.4546,31.2177,121.4435
7681,6,57.0,58.0,36.0,4.2,31.2555,121.4761,31.2583,121.4899
1029,6,71.0,61.0,30.0,3.9,31.2759,121.412,31.2678,121.41
27334,7,24.0,34.0,33.0,4.7,31.2278,121.4411,31.2396,121.4447
20700,7,75.0,75.0,22.0,3.3000000000000003,31.2717,121.4558,31.2707,121.4539
338,7,75.0,64.0,38.0,4.9,31.279,121.4546,31.2647,121.4448
26798,7,24.0,13.0,32.0,4.9,31.2276,121.4402,31.2182,121.4324
18960,7,61.0,81.0,48.0,5.6000000000000005,31.265,121.4126,31.2898,121.4194
27634,7,80.0,71.0,40.0,4.9,31.2867,121.4038,31.2736,121.4164
10942,8,24.0,35.0,37.0,4.7,31.2235,121.4481,31.2375,121.453
18697,8,24.0,23.0,37.0,4.800000000000001,31.2259,121.45,31.2209,121.4337
27553,8,6.0,6.0,30.0,3.7,31.2098,121.4619,31.2041,121.4609
25264,8,69.0,69.0,27.0,3.9,31.2619,121.4929,31.2655,121.4917
4014,8,71.0,52.0,39.0,5.1,31.2706,121.4147,31.2556,121.4272
34401,8,71.0,70.0,34.0,4.4,31.2747,121.4126,31.2771,121.4012
36327,8,75.0,84.0,42.0,5.6,31.2716,121.4597,31.2847,121.4415
3602,9,48.0,79.0,55.0,6.2,31.2425,121.4824,31.2741,121.4968
36591,9,25.0,34.0,42.0,5.2,31.222,121.4577,31.236,121.4417
695,9,70.0,70.0,28.0,3.8,31.2733,121.4032,31.2767,121.401
33215,9,12.0,11.0,34.0,4.1,31.2123,121.4268,31.212,121.4149
33437,9,75.0,76.0,30.0,4.2,31.2799,121.4582,31.2711,121.4637
20562,9,24.0,25.0,33.0,4.1,31.2211,121.4455,31.2285,121.4549
20874,9,11.0,31.0,46.0,5.800000000000001,31.2135,121.4125,31.2374,121.4183
10741,9,75.0,75.0,24.0,3.2,31.2716,121.4597,31.2734,121.4587
32550,10,35.0,33.0,40.0,5.3,31.2309,121.459,31.2387,121.4351
35471,10,80.0,81.0,30.0,3.9,31.2867,121.4038,31.285,121.4136
28417,10,6.0,16.0,36.0,4.7,31.2048,121.4696,31.2166,121.463
24269,10,13.0,12.0,34.0,4.7,31.2104,121.4345,31.2164,121.4204
16716,10,24.0,25.0,32.0,4.1,31.2235,121.4481,31.2299,121.4518
26759,10,57.0,67.0,38.0,5.2,31.2512,121.4754,31.2696,121.4762
23240,10,97.0,97.0,26.0,3.9,31.2906,121.4778,31.2909,121.4716
14078,10,95.0,95.0,26.0,3.6,31.2924,121.4511,31.2938,121.4575
7045,11,68.0,69.0,27.0,3.4,31.2656,121.4871,31.2673,121.4918
7687,11,57.0,67.0,34.0,5.1000000000000005,31.2539,121.4757,31.2688,121.4726
18699,11,24.0,23.0,30.0,4.0,31.2214,121.4437,31.2271,121.4367
1275,11,75.0,73.0,35.0,4.7,31.2706,121.4532,31.2742,121.4378
12968,11,80.0,70.0,37.0,4.7,31.2867,121.4038,31.2726,121.4043
8069,11,24.0,15.0,35.0,4.2,31.225,121.4473,31.2146,121.4538
16131,11,44.0,45.0,30.0,4.2,31.2415,121.4448,31.2403,121.4534
778,12,26.0,35.0,33.0,4.4,31.2248,121.4674,31.2336,121.456
19401,12,71.0,80.0,32.0,4.1,31.2759,121.412,31.2833,121.4028
32766,12,44.0,55.0,36.0,4.5,31.2467,121.4406,31.2542,121.4554
28120,12,35.0,35.0,33.0,4.0,31.2375,121.4595,31.2326,121.4503
