,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
23919,0,75.0,74.0,34.0,4.5,31.2788,121.4563,31.274,121.4468
9246,0,75.0,74.0,30.0,4.5,31.273,121.4573,31.2789,121.4491
38589,0,75.0,32.0,65.0,7.6,31.2792,121.4556,31.2392,121.4266
42315,1,8.0,8.0,29.0,3.9,31.2076,121.4825,31.2087,121.4896
19660,1,80.0,80.0,26.0,3.9,31.2867,121.4038,31.2838,121.4028
39535,1,75.0,76.0,34.0,4.2,31.2704,121.4521,31.2758,121.4638
20977,1,18.0,18.0,30.0,4.1,31.2128,121.4818,31.2178,121.4893
36636,1,33.0,24.0,39.0,5.0,31.2395,121.4306,31.2295,121.4463
41130,2,75.0,41.0,69.0,8.3,31.2736,121.459,31.2427,121.4117
24270,2,12.0,2.0,36.0,4.800000000000001,31.2157,121.4284,31.2049,121.4224
38943,2,12.0,2.0,32.0,4.2,31.22,121.4211,31.2082,121.4283
7164,2,13.0,11.0,40.0,5.1,31.2102,121.4391,31.2128,121.4189
36510,2,13.0,11.0,39.0,4.9,31.216,121.4381,31.2131,121.4156
31628,3,33.0,43.0,30.0,4.3,31.2349,121.4303,31.2436,121.4374
32002,3,77.0,67.0,26.0,4.3,31.2707,121.4788,31.2647,121.4791
40324,4,12.0,11.0,37.0,4.8,31.2117,121.4299,31.2145,121.4106
40786,4,35.0,34.0,38.0,4.800000000000001,31.2376,121.4554,31.2327,121.4407
43067,4,75.0,84.0,34.0,5.0,31.2799,121.4582,31.2898,121.4454
17862,4,13.0,2.0,37.0,5.1,31.216,121.4381,31.2027,121.427
26105,5,35.0,33.0,34.0,4.9,31.2399,121.4559,31.2356,121.4398
38021,5,24.0,25.0,29.0,3.7,31.2262,121.4479,31.2222,121.453
2005,5,57.0,47.0,30.0,4.4,31.2515,121.4771,31.2432,121.4706
8675,5,24.0,25.0,34.0,4.9,31.2297,121.4415,31.2274,121.4565
15566,6,25.0,27.0,36.0,4.9,31.2218,121.4565,31.2235,121.4742
7700,6,24.0,34.0,30.0,4.7,31.2211,121.4432,31.2319,121.4415
24319,6,75.0,73.0,36.0,4.800000000000001,31.2719,121.4509,31.2764,121.4336
11891,7,57.0,58.0,35.0,4.4,31.2563,121.4716,31.2555,121.4875
31105,7,57.0,48.0,33.0,4.0,31.2515,121.4771,31.2448,121.4844
19717,7,13.0,21.0,41.0,4.8,31.2165,121.4365,31.2283,121.4189
6508,7,24.0,24.0,27.0,3.6,31.2221,121.4402,31.2202,121.4459
23649,8,10.0,0.0,32.0,4.5,31.2115,121.4025,31.201,121.407
38322,8,10.0,0.0,31.0,4.5,31.2112,121.4006,31.2005,121.4034
38857,8,68.0,89.0,38.0,5.5,31.2644,121.4848,31.2816,121.4966
24648,8,24.0,34.0,39.0,5.3,31.2213,121.4438,31.2397,121.4496
13363,8,25.0,25.0,26.0,3.7,31.2218,121.4565,31.2212,121.4544
37148,9,6.0,6.0,30.0,3.6,31.2076,121.4654,31.2028,121.4615
12724,9,24.0,26.0,45.0,5.7,31.2262,121.4419,31.2226,121.4689
9961,9,74.0,73.0,31.0,4.3,31.2785,121.4419,31.2735,121.4328
9962,9,74.0,50.0,58.0,7.200000000000001,31.2728,121.4429,31.2527,121.4006
19071,9,6.0,6.0,30.0,4.0,31.2048,121.4696,31.2034,121.4622
42373,9,2.0,2.0,26.0,3.7,31.2041,121.425,31.2022,121.4291
24158,10,22.0,33.0,36.0,5.3,31.2267,121.4236,31.2391,121.4386
10255,10,12.0,10.0,46.0,5.6000000000000005,31.2187,121.4298,31.2151,121.4007
9485,10,22.0,33.0,26.0,4.0,31.2266,121.4273,31.2309,121.431
38665,10,35.0,23.0,37.0,4.6,31.2356,121.4518,31.2255,121.4373
16872,11,75.0,54.0,39.0,4.6,31.2704,121.4521,31.2539,121.4455
42188,11,35.0,34.0,29.0,4.2,31.2397,121.4545,31.2373,121.4475
28342,11,75.0,50.0,59.0,7.4,31.2704,121.4521,31.258,121.4055
2560,11,24.0,25.0,35.0,4.7,31.2296,121.4439,31.2218,121.4585
31537,11,75.0,63.0,43.0,5.5,31.2751,121.4579,31.2641,121.4359
24552,12,57.0,57.0,24.0,3.9,31.2519,121.4721,31.254,121.4764
13793,12,12.0,11.0,28.0,4.3,31.2178,121.425,31.2171,121.4177
37644,12,17.0,18.0,28.0,3.7,31.2116,121.4789,31.2159,121.482
40209,13,12.0,12.0,31.0,4.1,31.22,121.4211,31.2119,121.4259
19103,13,68.0,68.0,26.0,3.6,31.2656,121.4871,31.2672,121.4895
37921,13,25.0,24.0,34.0,4.7,31.2269,121.4582,31.2206,121.4434
33081,13,56.0,45.0,29.0,4.4,31.2516,121.4647,31.2448,121.4585
2127,13,31.0,20.0,29.0,4.1,31.2321,121.4142,31.2283,121.4085
15823,14,72.0,81.0,38.0,4.9,31.2737,121.427,31.2877,121.4132
7186,14,67.0,77.0,33.0,4.5,31.2691,121.4713,31.2786,121.4771
43006,14,75.0,52.0,57.0,6.5,31.2728,121.4597,31.2572,121.42
1150,14,72.0,81.0,38.0,4.6000000000000005,31.2758,121.421,31.2891,121.4177
28462,15,25.0,24.0,34.0,5.1000000000000005,31.2261,121.4596,31.2275,121.4439
39940,15,12.0,0.0,42.0,5.800000000000001,31.2131,121.4294,31.2089,121.4012
39934,15,24.0,24.0,28.0,4.3,31.2296,121.4439,31.2248,121.4432
43024,15,46.0,46.0,27.0,3.9,31.2447,121.4684,31.247,121.4649
13789,15,25.0,24.0,29.0,4.5,31.2237,121.4537,31.228,121.445
36309,16,17.0,18.0,28.0,4.3,31.2124,121.4773,31.2159,121.4828
8071,16,75.0,75.0,31.0,3.9,31.2714,121.4541,31.2794,121.4521
22760,16,75.0,85.0,28.0,3.7,31.2762,121.457,31.2813,121.4562
10397,16,75.0,73.0,43.0,5.5,31.2755,121.4585,31.271,121.4334
17795,16,69.0,68.0,32.0,4.3,31.2619,121.4929,31.2651,121.4822
25939,17,71.0,61.0,35.0,4.9,31.2721,121.412,31.2614,121.4171
29530,17,75.0,75.0,27.0,4.3,31.2736,121.459,31.2719,121.4517
1636,17,54.0,42.0,40.0,4.8,31.2597,121.4412,31.2488,121.4249
43513,17,24.0,25.0,32.0,4.2,31.2296,121.4403,31.229,121.4556
9927,17,25.0,44.0,41.0,5.0,31.2294,121.4534,31.2496,121.4496
3055,18,75.0,74.0,28.0,3.9,31.2797,121.4558,31.2762,121.4464
33675,18,13.0,13.0,25.0,3.4,31.2106,121.4369,31.2148,121.4369
189,18,75.0,85.0,33.0,4.3,31.2713,121.4523,31.2825,121.4587
25579,18,12.0,11.0,36.0,4.2,31.2114,121.4256,31.2133,121.4104
28018,19,69.0,58.0,34.0,4.6000000000000005,31.2632,121.498,31.2596,121.4807
24857,19,75.0,63.0,44.0,5.6000000000000005,31.2764,121.4598,31.264,121.4341
38045,19,61.0,50.0,37.0,4.5,31.2619,121.418,31.2576,121.4026
30598,19,75.0,86.0,36.0,4.5,31.2713,121.4532,31.28,121.4619
24856,20,75.0,73.0,42.0,5.6,31.2714,121.4541,31.279,121.4303
42119,20,44.0,52.0,42.0,5.6,31.2437,121.4403,31.2599,121.4259
2824,20,75.0,56.0,42.0,4.8,31.2701,121.4523,31.2573,121.4683
38043,20,61.0,50.0,38.0,5.5,31.27,121.4154,31.2533,121.4047
22687,21,33.0,33.0,26.0,3.7,31.231,121.4369,31.235,121.4399
4890,21,23.0,13.0,34.0,4.3,31.2256,121.438,31.2176,121.4302
6527,21,48.0,49.0,28.0,4.2,31.2459,121.4837,31.2496,121.4905
30443,21,31.0,40.0,36.0,4.800000000000001,31.23,121.4159,31.2414,121.4038
23582,21,12.0,12.0,30.0,3.8,31.2102,121.4286,31.2144,121.4248
23205,22,75.0,75.0,31.0,4.6,31.2799,121.4574,31.2711,121.4546
7812,22,13.0,22.0,41.0,5.0,31.2102,121.4391,31.224,121.4227
42079,22,24.0,35.0,31.0,4.1,31.2229,121.4434,31.2301,121.4509
24228,22,17.0,8.0,38.0,5.3,31.2193,121.4794,31.2006,121.4852
37350,22,25.0,36.0,37.0,4.8,31.2237,121.4537,31.2348,121.4684
37158,22,13.0,22.0,36.0,4.9,31.2164,121.4349,31.2253,121.423
40086,23,25.0,25.0,31.0,3.9,31.2211,121.4565,31.2292,121.4537
38909,23,31.0,42.0,34.0,5.0,31.2345,121.4116,31.2458,121.4206
26964,23,2.0,13.0,40.0,5.2,31.2003,121.42,31.2156,121.4343
29373,23,61.0,80.0,46.0,5.5,31.2651,121.4146,31.2883,121.4099
32097,23,7.0,18.0,27.0,3.6,31.2097,121.4792,31.2102,121.4863
25199,24,18.0,6.0,40.0,5.4,31.2153,121.4892,31.2097,121.4645
5939,24,46.0,45.0,31.0,4.4,31.2447,121.4684,31.2461,121.4575
4892,24,24.0,12.0,44.0,5.6000000000000005,31.2296,121.4403,31.212,121.4214
34096,24,6.0,8.0,41.0,5.2,31.2051,121.4607,31.2046,121.4868
374,24,11.0,11.0,31.0,4.2,31.2109,121.412,31.2187,121.4181
28393,25,75.0,76.0,36.0,4.800000000000001,31.2754,121.4501,31.272,121.4639
42006,25,2.0,11.0,37.0,4.9,31.2034,121.4228,31.2165,121.4173
16382,25,10.0,10.0,28.0,3.9,31.216,121.4086,31.2131,121.408
38732,25,15.0,24.0,37.0,4.699999999999999,31.2152,121.455,31.2287,121.4412
18770,25,14.0,14.0,29.0,3.8,31.2112,121.4448,31.2166,121.4471
22376,25,24.0,24.0,32.0,4.0,31.2229,121.4434,31.2298,121.4481
39267,25,71.0,71.0,26.0,3.9,31.2786,121.4165,31.2795,121.4162
43192,26,35.0,35.0,31.0,4.3,31.2325,121.4592,31.2348,121.4513
29054,26,14.0,15.0,34.0,4.6,31.2112,121.4448,31.2198,121.4518
28519,26,35.0,35.0,25.0,3.5,31.2356,121.4518,31.2325,121.4503
21822,26,34.0,44.0,32.0,4.2,31.2361,121.4452,31.2424,121.4404
43231,26,15.0,16.0,37.0,5.1,31.2192,121.4517,31.2103,121.4676
13162,27,35.0,26.0,29.0,4.3,31.2325,121.4592,31.2283,121.4611
20965,27,6.0,16.0,33.0,4.1,31.2025,121.4695,31.2115,121.4638
4374,27,18.0,19.0,29.0,4.3,31.2129,121.4862,31.2115,121.4944
9822,27,6.0,5.0,29.0,3.9,31.2051,121.4621,31.2077,121.4573
43138,27,12.0,1.0,38.0,4.9,31.2187,121.4237,31.2036,121.4139
10805,27,11.0,12.0,35.0,4.5,31.2107,121.4101,31.2195,121.4239
16191,27,25.0,44.0,44.0,5.4,31.2253,121.4583,31.2463,121.4492
9472,27,11.0,14.0,45.0,5.3,31.2158,121.4142,31.218,121.4408
21360,27,24.0,24.0,28.0,3.8,31.2267,121.4488,31.2295,121.4445
37627,27,61.0,72.0,38.0,4.5,31.265,121.4126,31.2763,121.4217
6008,28,24.0,14.0,34.0,5.0,31.2254,121.4403,31.214,121.4491
6108,28,13.0,13.0,29.0,4.1,31.2104,121.4345,31.2177,121.4358
1035,28,12.0,11.0,27.0,3.7,31.2177,121.4251,31.2141,121.4193
42213,28,75.0,75.0,27.0,3.7,31.2714,121.4541,31.2752,121.4565
3775,28,68.0,79.0,34.0,4.9,31.2644,121.4848,31.2733,121.4971
38993,28,75.0,84.0,30.0,3.8,31.2799,121.4537,31.2822,121.4456
4001,28,24.0,24.0,34.0,4.3,31.2203,121.4462,31.2299,121.4479
12867,28,75.0,75.0,30.0,3.6,31.275,121.4573,31.27,121.4528
15819,28,71.0,51.0,41.0,5.0,31.2706,121.4147,31.2513,121.4126
29147,29,7.0,8.0,33.0,4.3,31.2042,121.4728,31.2065,121.4833
12888,29,32.0,33.0,33.0,4.4,31.2337,121.4227,31.2309,121.4356
21540,29,57.0,66.0,38.0,4.699999999999999,31.2515,121.4771,31.2677,121.47
