,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
34433,0,75.0,55.0,47.0,5.7,31.2751,121.4579,31.2505,121.4529
15811,0,35.0,34.0,33.0,4.3,31.2375,121.4595,31.2317,121.4497
28551,0,35.0,34.0,35.0,4.4,31.2309,121.459,31.2363,121.4443
21736,0,75.0,65.0,33.0,4.6000000000000005,31.2717,121.4558,31.2602,121.4528
30433,0,68.0,98.0,51.0,6.0,31.2665,121.4813,31.2985,121.4867
9930,0,71.0,71.0,29.0,4.1,31.2711,121.42,31.2726,121.4131
25699,1,75.0,63.0,45.0,6.1000000000000005,31.2782,121.4571,31.2609,121.4343
8979,1,75.0,74.0,33.0,4.3,31.2799,121.4537,31.2715,121.443
22302,1,75.0,85.0,28.0,4.0,31.2767,121.45,31.2833,121.4523
21687,1,23.0,35.0,32.0,4.3,31.2289,121.4389,31.2336,121.4517
609,1,13.0,23.0,39.0,4.6,31.2106,121.4369,31.2275,121.4341
22290,1,75.0,85.0,28.0,3.8,31.2793,121.4593,31.2824,121.4563
22904,2,68.0,67.0,33.0,4.7,31.2653,121.4889,31.2602,121.4765
34424,2,24.0,35.0,34.0,4.4,31.2204,121.4481,31.2326,121.4508
7961,2,12.0,13.0,32.0,4.4,31.2165,121.4222,31.214,121.4362
34641,2,24.0,23.0,31.0,4.3,31.2262,121.4419,31.224,121.4313
31956,2,24.0,43.0,45.0,5.800000000000001,31.2267,121.4488,31.2492,121.4395
2981,3,34.0,43.0,34.0,4.2,31.2396,121.4488,31.2437,121.4382
24283,3,31.0,30.0,28.0,4.3,31.2304,121.4128,31.2319,121.4045
31217,3,2.0,3.0,30.0,4.0,31.205,121.4216,31.2078,121.4328
33977,3,80.0,70.0,32.0,4.7,31.2867,121.4038,31.2734,121.4026
2094,4,57.0,57.0,25.0,3.4,31.2539,121.4757,31.2565,121.4773
20485,4,75.0,85.0,34.0,4.9,31.2755,121.4578,31.2869,121.4579
9031,4,61.0,80.0,49.0,6.0,31.2619,121.418,31.2882,121.4077
30862,4,18.0,17.0,36.0,4.800000000000001,31.2153,121.4892,31.2131,121.4743
11147,4,24.0,26.0,38.0,4.8,31.2266,121.4427,31.2258,121.4639
20501,4,75.0,75.0,25.0,3.8,31.2762,121.457,31.2747,121.4548
17511,4,67.0,55.0,42.0,4.9,31.262,121.475,31.2553,121.4553
15099,5,75.0,65.0,26.0,3.9,31.273,121.4573,31.2676,121.4579
22352,5,75.0,54.0,46.0,5.9,31.2792,121.4556,31.257,121.4493
37054,5,25.0,35.0,34.0,4.5,31.2285,121.4504,31.2337,121.4595
25502,5,6.0,7.0,32.0,4.4,31.2059,121.4635,31.208,121.4729
12567,5,75.0,54.0,44.0,5.5,31.2799,121.4582,31.2577,121.4423
9838,5,68.0,89.0,46.0,5.9,31.2623,121.4815,31.2884,121.4953
32099,6,71.0,73.0,38.0,5.3,31.2752,121.4161,31.2725,121.4345
34270,6,75.0,73.0,40.0,4.8,31.2709,121.4555,31.2775,121.4385
36828,6,75.0,55.0,38.0,4.6,31.2714,121.4541,31.254,121.4579
7395,6,61.0,70.0,42.0,5.4,31.2619,121.418,31.279,121.4014
856,7,13.0,21.0,39.0,5.0,31.2104,121.4345,31.2234,121.4184
27757,7,23.0,15.0,44.0,5.2,31.2282,121.4351,31.2144,121.4572
28896,7,45.0,44.0,33.0,4.9,31.2474,121.4578,31.2471,121.4426
15558,7,75.0,76.0,28.0,3.9,31.2718,121.457,31.2747,121.4622
9003,7,75.0,84.0,38.0,4.4,31.2709,121.4555,31.2835,121.4454
28298,7,75.0,76.0,31.0,4.4,31.2787,121.4552,31.2738,121.464
11423,8,75.0,54.0,37.0,5.0,31.2701,121.452,31.2593,121.4419
21773,8,80.0,81.0,34.0,4.3,31.2867,121.4038,31.2811,121.4139
34277,8,75.0,53.0,36.0,5.0,31.2719,121.4509,31.2597,121.4394
9671,8,75.0,43.0,53.0,6.5,31.2719,121.4509,31.2417,121.4386
8785,8,75.0,64.0,38.0,5.5,31.2782,121.4571,31.2622,121.4455
21537,8,75.0,53.0,44.0,5.1,31.2714,121.4541,31.2564,121.4375
36857,8,75.0,64.0,34.0,4.0,31.2761,121.4514,31.2674,121.4486
22713,9,6.0,7.0,25.0,3.9,31.2048,121.4696,31.2015,121.4724
17228,9,33.0,44.0,37.0,4.800000000000001,31.2346,121.4326,31.2415,121.4462
30220,9,75.0,75.0,23.0,3.4000000000000004,31.2755,121.4585,31.2752,121.4597
11151,9,25.0,27.0,36.0,4.800000000000001,31.221,121.4568,31.2258,121.4734
4713,9,75.0,56.0,39.0,5.1,31.2719,121.4509,31.2545,121.4614
7133,10,31.0,42.0,43.0,5.3,31.2304,121.4128,31.2483,121.4251
3485,10,10.0,0.0,24.0,3.7,31.2115,121.4025,31.2089,121.4062
36274,10,17.0,19.0,34.0,4.3,31.2193,121.4794,31.2158,121.4933
30137,10,67.0,67.0,31.0,4.0,31.262,121.475,31.2695,121.4745
30482,10,7.0,6.0,36.0,4.4,31.2015,121.4765,31.21,121.4654
35937,11,15.0,15.0,24.0,3.9,31.2186,121.4593,31.2182,121.4564
17267,11,89.0,87.0,36.0,4.8,31.2859,121.4915,31.2834,121.473
1257,11,75.0,56.0,49.0,5.6,31.2779,121.4523,31.2501,121.4616
27696,11,6.0,6.0,24.0,4.0,31.2051,121.4621,31.2085,121.4628
21813,11,75.0,85.0,31.0,4.5,31.2799,121.4574,31.2895,121.4597
23833,11,75.0,52.0,50.0,6.6,31.2737,121.4593,31.2599,121.4259
20161,11,12.0,10.0,35.0,4.3,31.2114,121.4256,31.2131,121.41
17042,12,71.0,61.0,25.0,3.7,31.2729,121.4109,31.2696,121.4125
37147,12,71.0,71.0,28.0,4.1,31.2785,121.418,31.2728,121.4189
1248,12,75.0,65.0,28.0,3.9,31.2736,121.459,31.2694,121.4588
6026,12,24.0,14.0,32.0,4.1,31.2278,121.4411,31.2177,121.4455
4302,12,71.0,61.0,36.0,4.6,31.2761,121.4138,31.26,121.4129
25728,12,71.0,71.0,27.0,3.8,31.2761,121.4138,31.277,121.4177
31272,12,7.0,6.0,34.0,4.9,31.2025,121.4797,31.2054,121.4647
31077,13,36.0,38.0,36.0,5.0,31.2364,121.469,31.2309,121.4862
5283,13,75.0,65.0,38.0,4.6000000000000005,31.2781,121.4502,31.2629,121.4508
18019,13,75.0,55.0,40.0,4.9,31.2743,121.4511,31.2547,121.4507
28641,13,75.0,51.0,58.0,6.699999999999999,31.2706,121.4532,31.2508,121.4145
27467,13,24.0,35.0,39.0,4.9,31.2278,121.4411,31.2374,121.4579
5271,13,75.0,55.0,37.0,4.699999999999999,31.2737,121.4593,31.2571,121.4531
33678,13,17.0,18.0,33.0,4.4,31.2144,121.4709,31.2155,121.4844
15529,14,75.0,76.0,32.0,4.2,31.279,121.4546,31.2706,121.4628
7567,14,6.0,18.0,44.0,5.0,31.2051,121.4607,31.2166,121.4827
28261,14,75.0,76.0,30.0,3.9,31.2737,121.4593,31.2726,121.467
24259,14,71.0,51.0,35.0,4.3,31.2703,121.4101,31.2591,121.4114
498,14,24.0,23.0,30.0,3.6,31.2246,121.4457,31.2277,121.4389
954,14,25.0,5.0,38.0,5.1,31.2245,121.4598,31.2086,121.4503
2789,14,75.0,76.0,33.0,4.3,31.2719,121.4509,31.274,121.4635
25978,14,24.0,23.0,30.0,4.3,31.2266,121.4427,31.2227,121.4309
6939,14,75.0,65.0,36.0,4.3,31.2747,121.4527,31.2613,121.4512
33843,15,75.0,45.0,50.0,6.500000000000001,31.272,121.4514,31.2411,121.4524
10305,15,17.0,18.0,32.0,4.2,31.2112,121.4712,31.2117,121.4849
12328,15,12.0,12.0,30.0,3.9,31.2187,121.4237,31.2112,121.4267
37765,15,75.0,52.0,54.0,6.5,31.2767,121.45,31.2518,121.4269
37725,15,75.0,53.0,52.0,6.5,31.2755,121.4578,31.2542,121.4304
8505,15,34.0,24.0,37.0,4.9,31.2398,121.4443,31.2257,121.4488
12274,15,75.0,52.0,54.0,6.6000000000000005,31.2734,121.4563,31.2527,121.4239
6435,16,54.0,53.0,34.0,4.1,31.2597,121.4412,31.2524,121.4345
14844,16,71.0,62.0,31.0,4.0,31.2718,121.4164,31.2653,121.4243
