,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
22940,0,80.0,70.0,36.0,4.4,31.2867,121.4038,31.2722,121.4009
22001,0,75.0,65.0,32.0,4.2,31.2717,121.4558,31.263,121.4573
13952,0,11.0,21.0,33.0,4.800000000000001,31.211,121.4102,31.2237,121.4142
15313,1,72.0,61.0,33.0,4.4,31.2758,121.421,31.2643,121.4139
28335,1,48.0,38.0,38.0,4.7,31.2465,121.4877,31.2323,121.4867
28545,2,57.0,47.0,35.0,4.6000000000000005,31.2549,121.4759,31.2433,121.4739
26073,2,75.0,60.0,64.0,7.3,31.2772,121.453,31.2627,121.4046
18526,2,18.0,17.0,30.0,4.3,31.2134,121.4872,31.2158,121.4783
9937,2,2.0,1.0,31.0,4.5,31.2009,121.4216,31.201,121.4125
6442,3,54.0,54.0,31.0,4.5,31.2597,121.4412,31.2551,121.4478
26045,3,58.0,38.0,38.0,5.5,31.2561,121.4855,31.2363,121.4824
39176,3,58.0,38.0,42.0,5.3,31.258,121.4878,31.2395,121.4888
22719,4,23.0,5.0,44.0,6.0,31.2221,121.4345,31.2023,121.4538
33882,4,24.0,35.0,38.0,4.8,31.221,121.4415,31.2336,121.4551
11223,4,18.0,15.0,48.0,5.7,31.2129,121.4862,31.2117,121.4554
14232,4,46.0,56.0,31.0,4.4,31.2432,121.4674,31.2539,121.4647
18900,4,75.0,64.0,30.0,4.6,31.2761,121.4514,31.2698,121.4407
11312,5,68.0,58.0,28.0,3.8,31.2665,121.4813,31.2592,121.4817
34055,5,46.0,56.0,36.0,4.2,31.2432,121.4674,31.2546,121.4677
33010,5,42.0,52.0,37.0,5.0,31.2425,121.4247,31.2585,121.4253
24355,5,18.0,27.0,28.0,4.4,31.2194,121.4891,31.2239,121.48
24918,5,43.0,45.0,41.0,4.9,31.2417,121.433,31.2431,121.4544
21968,6,7.0,8.0,32.0,4.6,31.2015,121.4765,31.2079,121.4868
28431,6,25.0,26.0,24.0,3.6,31.2211,121.4565,31.2237,121.4602
14236,6,56.0,65.0,30.0,4.0,31.2571,121.4627,31.2669,121.4588
28991,7,67.0,65.0,37.0,5.3,31.262,121.475,31.2689,121.4581
3025,7,75.0,85.0,39.0,4.8,31.2706,121.4532,31.2867,121.4504
31627,7,13.0,13.0,28.0,3.9,31.2104,121.4345,31.2171,121.4362
19165,7,71.0,71.0,29.0,3.8,31.2796,121.4179,31.2747,121.4145
31203,8,12.0,2.0,32.0,4.3,31.2114,121.4256,31.2014,121.4224
37780,8,75.0,60.0,64.0,7.5,31.2764,121.4598,31.2652,121.4068
