,time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
31028,0,75.0,76.0,27.0,4.3,31.2762,121.457,31.2782,121.4622
18194,0,75.0,76.0,28.0,3.9,31.2718,121.457,31.2708,121.4614
26662,0,12.0,11.0,34.0,4.7,31.215,121.4262,31.2133,121.4158
17090,1,12.0,13.0,31.0,4.1,31.2114,121.4256,31.2126,121.4338
12159,1,24.0,13.0,37.0,4.699999999999999,31.2275,121.4445,31.215,121.4323
14375,1,72.0,72.0,24.0,3.2,31.2737,121.427,31.2758,121.4279
24323,2,75.0,65.0,42.0,5.2,31.2793,121.4593,31.2603,121.454
37375,2,72.0,62.0,32.0,4.9,31.2737,121.427,31.2609,121.4233
16775,2,44.0,43.0,31.0,4.0,31.2448,121.4493,31.2462,121.4379
24300,2,75.0,65.0,35.0,4.7,31.2751,121.4579,31.2623,121.4541
2275,3,24.0,34.0,35.0,5.0,31.2211,121.4455,31.2349,121.4479
8977,3,24.0,33.0,26.0,3.9,31.2297,121.4415,31.2309,121.4393
34700,3,84.0,85.0,35.0,4.4,31.2884,121.4409,31.2857,121.4538
33582,4,75.0,55.0,50.0,6.500000000000001,31.2799,121.4582,31.2506,121.4514
17853,4,48.0,48.0,25.0,3.7,31.2425,121.4824,31.2417,121.4834
30860,4,84.0,85.0,33.0,4.6,31.2804,121.4455,31.2862,121.4559
34260,4,24.0,34.0,34.0,4.5,31.225,121.4473,31.2377,121.4403
36533,5,26.0,36.0,35.0,4.2,31.2248,121.4674,31.2355,121.4604
2874,5,15.0,15.0,25.0,4.0,31.2146,121.4536,31.2144,121.4508
20221,5,24.0,25.0,32.0,4.3,31.2213,121.4438,31.2285,121.4555
15090,6,10.0,22.0,46.0,5.8,31.2112,121.4006,31.2279,121.4271
36105,6,25.0,25.0,28.0,3.5,31.2261,121.4596,31.2287,121.4577
8410,6,75.0,85.0,32.0,4.5,31.2719,121.4509,31.2806,121.4547
4383,6,13.0,13.0,28.0,3.5,31.2165,121.4365,31.2174,121.4332
3522,7,35.0,35.0,29.0,4.4,31.2399,121.4559,31.2325,121.4545
28829,7,35.0,36.0,37.0,4.5,31.2397,121.4545,31.2311,121.4689
1860,7,24.0,23.0,28.0,3.6,31.2276,121.4402,31.228,121.4325
21757,7,24.0,24.0,25.0,3.4000000000000004,31.2234,121.4445,31.2243,121.4438
25321,8,6.0,8.0,41.0,5.0,31.2079,121.4604,31.2089,121.4827
34046,8,25.0,14.0,38.0,4.9,31.2245,121.4598,31.2129,121.4461
25307,8,18.0,27.0,32.0,4.9,31.216,121.4829,31.2252,121.4749
23862,9,20.0,31.0,37.0,5.3,31.2231,121.4008,31.2321,121.4178
2054,9,72.0,61.0,30.0,4.6,31.2737,121.427,31.2698,121.4149
30849,9,18.0,19.0,31.0,4.4,31.216,121.4829,31.2107,121.4914
29508,9,34.0,43.0,26.0,3.8,31.238,121.4402,31.2407,121.4343
1202,9,48.0,46.0,40.0,5.3,31.2465,121.4877,31.2464,121.4677
21936,9,75.0,51.0,62.0,7.4,31.273,121.4573,31.2573,121.4119
15973,10,57.0,57.0,25.0,3.6,31.2565,121.4763,31.2582,121.4743
830,10,35.0,44.0,35.0,5.0,31.2325,121.4592,31.2407,121.4451
16730,10,25.0,35.0,38.0,5.1,31.22,121.4515,31.2367,121.4504
26246,10,71.0,70.0,30.0,4.5,31.2759,121.412,31.2732,121.4012
34917,10,61.0,51.0,32.0,4.7,31.2635,121.4193,31.2545,121.4112
2849,10,54.0,42.0,44.0,5.1,31.2597,121.4484,31.2455,121.4283
25598,11,12.0,2.0,29.0,3.9,31.2131,121.4294,31.2081,121.4259
1154,11,12.0,13.0,25.0,3.4,31.2157,121.4284,31.2148,121.4312
19937,11,35.0,26.0,40.0,4.8,31.2397,121.4546,31.2269,121.4662
32619,11,75.0,74.0,33.0,4.3,31.2702,121.4591,31.2724,121.4439
7732,12,35.0,25.0,39.0,5.0,31.2399,121.4559,31.2201,121.4587
9169,12,75.0,76.0,32.0,4.1,31.2709,121.4555,31.2726,121.4638
10441,12,25.0,26.0,26.0,3.4,31.2253,121.4583,31.2257,121.4625
5147,12,13.0,13.0,25.0,3.6,31.2104,121.4345,31.2127,121.4378
36448,12,72.0,63.0,38.0,4.9,31.2758,121.421,31.2602,121.4351
9223,13,35.0,25.0,36.0,4.9,31.2361,121.4527,31.2217,121.4512
8191,13,25.0,45.0,46.0,6.1000000000000005,31.221,121.4568,31.2459,121.4524
18201,13,75.0,74.0,30.0,4.2,31.2702,121.4591,31.2773,121.449
6719,13,13.0,24.0,37.0,5.3,31.2104,121.4345,31.2209,121.4498
35683,13,24.0,25.0,24.0,3.4000000000000004,31.2262,121.4479,31.2254,121.45
20150,13,23.0,13.0,28.0,3.4,31.2221,121.4345,31.2197,121.4379
180,14,61.0,50.0,37.0,5.1000000000000005,31.2635,121.4193,31.2535,121.4061
10247,14,75.0,73.0,46.0,5.800000000000001,31.2755,121.4578,31.2763,121.431
34841,14,75.0,75.0,26.0,3.7,31.2764,121.4598,31.2704,121.4591
22171,14,75.0,50.0,61.0,7.7,31.2785,121.4508,31.2529,121.4081
9335,14,75.0,64.0,38.0,5.4,31.2764,121.4598,31.2624,121.4449
33301,14,75.0,65.0,31.0,4.4,31.2799,121.4582,31.27,121.4596
9221,15,25.0,34.0,40.0,5.1,31.2254,121.4586,31.2381,121.4404
33058,15,24.0,24.0,25.0,3.8,31.2258,121.4479,31.2231,121.4467
2277,15,24.0,25.0,31.0,4.5,31.2229,121.4434,31.2255,121.4549
37220,15,44.0,43.0,37.0,5.1000000000000005,31.2448,121.4493,31.2421,121.4321
12381,15,33.0,52.0,37.0,4.6000000000000005,31.2388,121.4312,31.2509,121.4232
30088,16,75.0,74.0,33.0,4.4,31.2792,121.4556,31.2769,121.4427
1095,16,25.0,35.0,37.0,5.3,31.2218,121.4565,31.2395,121.4533
37879,16,11.0,31.0,46.0,5.800000000000001,31.2146,121.4112,31.2382,121.4133
3399,16,33.0,34.0,24.0,4.1,31.2332,121.4394,31.2368,121.4415
9987,16,25.0,25.0,31.0,3.8,31.2254,121.4586,31.2219,121.4503
8330,16,15.0,15.0,24.0,3.7,31.2108,121.454,31.2149,121.4535
9741,17,75.0,50.0,64.0,7.7,31.2797,121.4558,31.2532,121.4081
27576,17,6.0,16.0,32.0,4.4,31.2058,121.4657,31.2188,121.4622
1971,17,24.0,14.0,32.0,4.5,31.2262,121.4493,31.2141,121.4439
2441,18,75.0,74.0,30.0,4.2,31.2788,121.4563,31.2708,121.449
